Standard-based Integration of Heterogeneous Large-scale DNA Microarray Data for Improving Reusability.
('Standard-based', 'Standard-based', 'JJ', 'B-NP', 'O')
('interoperability', 'interoperability', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('heterogeneous', 'heterogeneous', 'JJ', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
For the reason, we customized the GEO data into MIAME standardbased format.
('For', 'For', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('reason,', 'reason,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('customized', 'customize', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('GEO', 'GEO', 'NNP', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('MIAME', 'MIAME', 'NN', 'B-NP', 'O')
('standardbased', 'standardbased', 'JJ', 'I-NP', 'O')
('format.', 'format.', 'NN', 'I-NP', 'O')
First, we analyzed attributes of Descriptive information in each GEO entity to understand that which GEO attribute corresponds to which part of MIAME.
('First,', 'First,', 'IN', 'B-SBAR', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('analyzed', 'analyze', 'VBD', 'B-VP', 'O')
('attributes', 'attribute', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Descriptive', 'Descriptive', 'JJ', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('GEO', 'GEO', 'NNP', 'I-NP', 'O')
('entity', 'entity', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('understand', 'understand', 'VB', 'I-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('GEO', 'GEO', 'NNP', 'B-NP', 'O')
('attribute', 'attribute', 'NN', 'I-NP', 'O')
('corresponds', 'correspond', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('part', 'part', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('MIAME.', 'MIAME.', 'NN', 'B-NP', 'B-protein')
Second, we mapped GEO attributes to elements in each part of MIAME and stored them into the database.
('Second,', 'Second,', 'NN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('mapped', 'map', 'VBD', 'B-VP', 'O')
('GEO', 'GEO', 'NNP', 'B-NP', 'O')
('attributes', 'attribute', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('elements', 'element', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('part', 'part', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('MIAME', 'MIAME', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'O', 'O')
('stored', 'store', 'VBD', 'B-VP', 'O')
('them', 'them', 'PRP', 'B-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('database.', 'database.', 'NN', 'I-NP', 'O')
Third, we mapped values of some GEO attributes into controlled terms from the MGED Ontology (http://mged.
('Third,', 'Third,', 'DT', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('mapped', 'map', 'VBD', 'B-VP', 'O')
('values', 'value', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('GEO', 'GEO', 'NNP', 'I-NP', 'O')
('attributes', 'attribute', 'VBZ', 'B-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('controlled', 'controlled', 'JJ', 'B-NP', 'O')
('terms', 'term', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('MGED', 'MGED', 'NNP', 'I-NP', 'O')
('Ontology', 'Ontology', 'NNP', 'I-NP', 'O')
('(http://mged.', '(http://mged.', 'NNP', 'I-NP', 'O')
sourceforge.
('sourceforge.', 'sourceforge.', 'LS', 'B-LST', 'O')
net/ontologies/index.
('net/ontologies/index.', 'net/ontologies/index.', 'LS', 'B-LST', 'O')
php).
('php).', 'php).', 'LS', 'B-LST', 'O')
For example, we performed mapping from ‘technology type’ in Platform to TechnologyType class and from ‘type’ in Series to both MethodologicalDesign class and ExperimentalFactor class.
('For', 'For', 'IN', 'B-PP', 'O')
('example,', 'example,', 'NN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('performed', 'perform', 'VBD', 'B-VP', 'O')
('mapping', 'map', 'VBG', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('‘technology', '‘technology', 'NN', 'B-NP', 'B-protein')
('type’', 'type’', 'NN', 'I-NP', 'I-protein')
('in', 'in', 'IN', 'B-PP', 'O')
('Platform', 'Platform', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('TechnologyType', 'TechnologyType', 'NN', 'B-NP', 'O')
('class', 'class', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'B-PP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('‘type’', '‘type’', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Series', 'Series', 'NNP', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('both', 'both', 'CC', 'O', 'O')
('MethodologicalDesign', 'MethodologicalDesign', 'NN', 'B-NP', 'O')
('class', 'class', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('ExperimentalFactor', 'ExperimentalFactor', 'NN', 'B-NP', 'O')
('class.', 'class.', 'NNS', 'I-NP', 'O')
In case of the ‘type’ in Series, there are the multiple values in one text, we split the text into single values.
('In', 'In', 'IN', 'B-PP', 'O')
('case', 'case', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('‘type’', '‘type’', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Series,', 'Series,', 'NNP', 'B-NP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('multiple', 'multiple', 'JJ', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('text,', 'text,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('split', 'split', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('text', 'text', 'NN', 'I-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('single', 'single', 'JJ', 'B-NP', 'O')
('values.', 'values.', 'NNS', 'I-NP', 'O')
In the second and third processes, we performed both a simple text mining method and manual curation with checking a description and values of each field.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('second', 'second', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('third', 'third', 'JJ', 'I-NP', 'O')
('processes,', 'processes,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('performed', 'perform', 'VBD', 'B-VP', 'O')
('both', 'both', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('simple', 'simple', 'JJ', 'I-NP', 'O')
('text', 'text', 'NN', 'I-NP', 'O')
('mining', 'mining', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('manual', 'manual', 'JJ', 'B-NP', 'O')
('curation', 'curation', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('checking', 'check', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('description', 'description', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('field.', 'field.', 'NN', 'I-NP', 'O')
Finally, microarray data in which data field unification process is done are stored into one database table according to classification result between loglike transformed data and raw data.
('Finally,', 'Finally,', 'NN', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('field', 'field', 'VBP', 'B-VP', 'O')
('unification', 'unification', 'NN', 'B-NP', 'O')
('process', 'process', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('done', 'do', 'VBN', 'I-VP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('stored', 'store', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('according', 'accord', 'VBG', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('classification', 'classification', 'NN', 'B-NP', 'O')
('result', 'result', 'VBP', 'B-VP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('loglike', 'loglike', 'JJ', 'B-NP', 'O')
('transformed', 'transform', 'VBN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('raw', 'raw', 'JJ', 'B-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
The hypothesis underlying microarray analysis is that the measured intensities for each arrayed gene represent its relative expression level.
('The', 'The', 'DT', 'B-NP', 'O')
('hypothesis', 'hypothesis', 'NN', 'I-NP', 'O')
('underlying', 'underlie', 'VBG', 'B-VP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('measured', 'measure', 'VBN', 'I-NP', 'O')
('intensities', 'intensity', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('arrayed', 'array', 'VBN', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('represent', 'represent', 'VBP', 'B-VP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('relative', 'relative', 'JJ', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('level.', 'level.', 'NN', 'I-NP', 'O')
Before the levels can be compared appropriately, a number of transformations must be carried out on the data to adjust the measured intensities to facilitate comparisons and to select genes that are significantly differentially expressed (Quackenbush, 2002).
('Before', 'Before', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('levels', 'level', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('compared', 'compare', 'VBN', 'I-VP', 'O')
('appropriately,', 'appropriately,', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('transformations', 'transformation', 'NNS', 'B-NP', 'O')
('must', 'must', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('carried', 'carry', 'VBN', 'I-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('adjust', 'adjust', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('measured', 'measure', 'VBN', 'I-NP', 'O')
('intensities', 'intensity', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('facilitate', 'facilitate', 'VB', 'I-VP', 'O')
('comparisons', 'comparison', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('select', 'select', 'VB', 'I-VP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('significantly', 'significantly', 'RB', 'I-VP', 'O')
('differentially', 'differentially', 'RB', 'I-VP', 'O')
('expressed', 'express', 'VBN', 'I-VP', 'O')
('(Quackenbush,', '(Quackenbush,', 'NNP', 'B-NP', 'O')
('2002).', '2002).', '.', 'O', 'O')
In microarray data analysis, difference between raw data and transformed data affects analysis results importantly.
('In', 'In', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('analysis,', 'analysis,', 'NN', 'I-NP', 'O')
('difference', 'difference', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('raw', 'raw', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('transformed', 'transform', 'VBN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('affects', 'affect', 'VBZ', 'B-VP', 'O')
('analysis', 'analysis', 'NN', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('importantly.', 'importantly.', 'VBP', 'B-VP', 'O')
Moreover, MIAME provides the conceptual structure for the representation of microarray data including raw and processed data (Brazma et al., 2001; Rayner et al., 2006).
('Moreover,', 'Moreover,', 'NNP', 'B-NP', 'O')
('MIAME', 'MIAME', 'NNP', 'I-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('conceptual', 'conceptual', 'JJ', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('representation', 'representation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('raw', 'raw', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('processed', 'process', 'VBN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('(Brazma', '(Brazma', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2001;', '2001;', ':', 'O', 'O')
('Rayner', 'Rayner', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2006).', '2006).', 'CD', 'B-NP', 'O')
However, both raw data and transformed data are stored together in GEO with no separation.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('both', 'both', 'DT', 'B-NP', 'O')
('raw', 'raw', 'JJ', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('transformed', 'transform', 'VBN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('stored', 'store', 'VBN', 'I-VP', 'O')
('together', 'together', 'RB', 'B-ADVP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('no', 'no', 'DT', 'B-NP', 'O')
('separation.', 'separation.', 'NN', 'I-NP', 'O')
For the reasons, we must distinguish between transformed data and raw data.
('For', 'For', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('reasons,', 'reasons,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('must', 'must', 'MD', 'B-VP', 'O')
('distinguish', 'distinguish', 'VB', 'I-VP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('transformed', 'transform', 'VBN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('raw', 'raw', 'JJ', 'B-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
Even though submitters are encouraged to describe about a process of Sample ‘Value’ field which indicates final expression value measurements, a large part of ‘Value’ fields have not only an ambiguous description or no description but even wrong description (Table 2).
('Even', 'Even', 'RB', 'B-SBAR', 'O')
('though', 'though', 'IN', 'I-SBAR', 'O')
('submitters', 'submitter', 'NNS', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('encouraged', 'encourage', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('describe', 'describe', 'VB', 'I-VP', 'O')
('about', 'about', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('process', 'process', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Sample', 'Sample', 'NNP', 'B-NP', 'O')
('‘Value’', '‘Value’', 'NNP', 'I-NP', 'O')
('field', 'field', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('indicates', 'indicate', 'VBZ', 'B-VP', 'O')
('final', 'final', 'JJ', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('measurements,', 'measurements,', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('large', 'large', 'JJ', 'I-NP', 'O')
('part', 'part', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('‘Value’', '‘Value’', 'NN', 'B-NP', 'O')
('fields', 'field', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('only', 'only', 'RB', 'I-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('ambiguous', 'ambiguous', 'JJ', 'I-NP', 'O')
('description', 'description', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('no', 'no', 'DT', 'B-NP', 'O')
('description', 'description', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('even', 'even', 'RB', 'B-NP', 'O')
('wrong', 'wrong', 'JJ', 'I-NP', 'O')
('description', 'description', 'NN', 'I-NP', 'O')
('(Table', '(Table', 'JJ', 'I-NP', 'O')
('2).', '2).', 'CD', 'I-NP', 'O')
In this paper, we assumed that the log transformation are mainly used among the several transformation processes and attempted to distinguish raw data and loglike transformed data.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('paper,', 'paper,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('assumed', 'assume', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('log', 'log', 'NN', 'I-NP', 'O')
('transformation', 'transformation', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('mainly', 'mainly', 'RB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('among', 'among', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('several', 'several', 'JJ', 'I-NP', 'O')
('transformation', 'transformation', 'NN', 'I-NP', 'O')
('processes', 'process', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('attempted', 'attempt', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('distinguish', 'distinguish', 'VB', 'I-VP', 'O')
('raw', 'raw', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('loglike', 'loglike', 'JJ', 'B-NP', 'O')
('transformed', 'transform', 'VBN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
We treated some transformation method as loglike transformation (Table 3).
('We', 'We', 'PRP', 'B-NP', 'O')
('treated', 'treat', 'VBD', 'B-VP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('transformation', 'transformation', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('loglike', 'loglike', 'JJ', 'B-NP', 'O')
('transformation', 'transformation', 'NN', 'I-NP', 'O')
('(Table', '(Table', 'JJ', 'B-NP', 'O')
('3).', '3).', 'CD', 'I-NP', 'O')
We propose a model for data processing classification using machine learning techniques.
('We', 'We', 'PRP', 'B-NP', 'O')
('propose', 'propose', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('data', 'data', 'NN', 'B-NP', 'O')
('processing', 'processing', 'NN', 'I-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('machine', 'machine', 'NN', 'B-NP', 'O')
('learning', 'learning', 'NN', 'I-NP', 'O')
('techniques.', 'techniques.', 'NN', 'I-NP', 'O')
Selection of a training data set For most classification study, a training data set consisting of records whose class labels are known must be provided.
('Selection', 'Selection', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('training', 'training', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'VBN', 'B-VP', 'O')
('For', 'For', 'IN', 'B-PP', 'O')
('most', 'most', 'JJS', 'B-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('study,', 'study,', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('training', 'training', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'VBP', 'B-VP', 'O')
('consisting', 'consist', 'VBG', 'I-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('records', 'record', 'NNS', 'B-NP', 'O')
('whose', 'whose', 'WP$', 'B-NP', 'O')
('class', 'class', 'NN', 'I-NP', 'O')
('labels', 'label', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('known', 'know', 'VBN', 'I-VP', 'O')
('must', 'must', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('provided.', 'provided.', 'VBN', 'I-VP', 'O')
It is necessary to select training data properly because the training data set is used to build a classification model.
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('necessary', 'necessary', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('select', 'select', 'VB', 'I-VP', 'O')
('training', 'training', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('properly', 'properly', 'RB', 'B-ADVP', 'O')
('because', 'because', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('training', 'training', 'NN', 'I-NP', 'O')
('data', 'data', 'NN', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('build', 'build', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('model.', 'model.', 'NN', 'I-NP', 'O')
First, we performed simple random sampling and extracted 200 GEO Samples.
('First,', 'First,', 'IN', 'B-SBAR', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('performed', 'perform', 'VBD', 'B-VP', 'O')
('simple', 'simple', 'JJ', 'B-NP', 'O')
('random', 'random', 'JJ', 'I-NP', 'O')
('sampling', 'sampling', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('extracted', 'extract', 'VBN', 'B-VP', 'O')
('200', '200', 'CD', 'B-NP', 'O')
('GEO', 'GEO', 'NNP', 'I-NP', 'O')
('Samples.', 'Samples.', 'NNP', 'I-NP', 'O')
Sampling is a commonly used approach for selecting a subset of the data objects to be analyzed.
('Sampling', 'Sampling', 'NNP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('commonly', 'commonly', 'RB', 'I-NP', 'O')
('used', 'use', 'VBN', 'I-NP', 'O')
('approach', 'approach', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('selecting', 'select', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('subset', 'subset', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('objects', 'object', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('analyzed.', 'analyzed.', 'VBN', 'I-VP', 'O')
Next, we classify data manually in compliance with three criteria for giving the correct class to data.
('Next,', 'Next,', 'NN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('classify', 'classify', 'VBP', 'B-VP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('manually', 'manually', 'RB', 'B-ADVP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('compliance', 'compliance', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('criteria', 'criterion', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('giving', 'give', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('correct', 'correct', 'JJ', 'I-NP', 'O')
('class', 'class', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('data.', 'data.', 'VB', 'I-VP', 'O')
• Description of ‘Value’ field in GEO Sample  • Range of data distribution  • Symmetricity of distribution  In the classification process, guarantee of data quality is very important factor.
('•', '•', 'LS', 'B-NP', 'O')
('Description', 'Description', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('‘Value’', '‘Value’', 'NN', 'B-NP', 'O')
('field', 'field', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NNP', 'B-NP', 'O')
('Sample', 'Sample', 'NNP', 'I-NP', 'O')
('•', '•', 'NNP', 'I-NP', 'O')
('Range', 'Range', 'NNP', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('distribution', 'distribution', 'NN', 'I-NP', 'O')
('•', '•', 'NN', 'I-NP', 'O')
('Symmetricity', 'Symmetricity', 'NN', 'I-NP', 'O')
