Application of Decision Tree for the Classification of Antimicrobial PeptideThe purpose of this study was to investigate the use of decision tree for the classification of antimicrobial peptides.
('Application', 'Application', 'NN', 'B-NP', 'O')
('make', 'make', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('simpler', 'simpler', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('more', 'more', 'JJR', 'B-NP', 'O')
('reasonable.', 'reasonable.', 'NN', 'I-NP', 'O')
Another approach to avoid this problem is to use a validation set.
('Another', 'Another', 'DT', 'B-NP', 'O')
('approach', 'approach', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('avoid', 'avoid', 'VB', 'I-VP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('problem', 'problem', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('use', 'use', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('validation', 'validation', 'NN', 'I-NP', 'O')
('set.', 'set.', 'NN', 'I-NP', 'O')
We divided a training data set into two.
('We', 'We', 'PRP', 'B-NP', 'O')
('divided', 'divide', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('training', 'training', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'VBN', 'B-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('two.', 'two.', 'CD', 'B-NP', 'O')
A half of a training set is used to form the decision tree using c4.5 and the other of training set is used as a validation set, which is used to generate rules from the decision tree using c4.5 rules (Quinlan etal., 1993).
('A', 'A', 'DT', 'B-NP', 'O')
('half', 'half', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('training', 'training', 'NN', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('form', 'form', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('c4.5', 'c4.5', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('training', 'training', 'NN', 'B-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('validation', 'validation', 'NN', 'I-NP', 'O')
('set,', 'set,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('generate', 'generate', 'VB', 'I-VP', 'O')
('rules', 'rule', 'NNS', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('c4.5', 'c4.5', 'NN', 'B-NP', 'O')
('rules', 'rule', 'NNS', 'I-NP', 'O')
('(Quinlan', '(Quinlan', 'VBP', 'B-VP', 'O')
('etal.,', 'etal.,', 'NN', 'B-NP', 'O')
('1993).', '1993).', 'CD', 'I-NP', 'O')
The overall rate of success with respect to classificationaccuracy is defined as this equation.
('The', 'The', 'DT', 'B-NP', 'O')
('overall', 'overall', 'JJ', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('success', 'success', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('respect', 'respect', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('classification', 'classification', 'NN', 'B-NP', 'O')
('accuracy', 'accuracy', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('equation.', 'equation.', 'NN', 'I-NP', 'O')
where TP (true positive) is the number of correctly classified peptides with strong antimicrobial activity, TN (true negative) is the number of incorrectly classified peptides with weak antimicrobial activity, FP (false positive) is the number of incorrectly classified peptides with weak antimicrobial activity, and FN (false negative) is the number of incorrectly classified peptides with strong antimicrobial activity.
('where', 'where', 'WRB', 'B-ADVP', 'O')
('TP', 'TP', 'NN', 'B-NP', 'O')
('(true', '(true', 'JJ', 'I-NP', 'O')
('positive)', 'positive)', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('correctly', 'correctly', 'RB', 'B-NP', 'O')
('classified', 'classify', 'VBN', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('strong', 'strong', 'JJ', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('activity,', 'activity,', 'NN', 'I-NP', 'O')
('TN', 'TN', 'NN', 'I-NP', 'O')
('(true', '(true', 'JJ', 'I-NP', 'O')
('negative)', 'negative)', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('incorrectly', 'incorrectly', 'RB', 'B-NP', 'O')
('classified', 'classify', 'VBN', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('weak', 'weak', 'JJ', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('activity,', 'activity,', 'NN', 'I-NP', 'O')
('FP', 'FP', 'NN', 'I-NP', 'O')
('(false', '(false', 'JJ', 'I-NP', 'O')
('positive)', 'positive)', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('incorrectly', 'incorrectly', 'RB', 'B-NP', 'O')
('classified', 'classify', 'VBN', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('weak', 'weak', 'JJ', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('activity,', 'activity,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('FN', 'FN', 'NN', 'I-NP', 'B-protein')
('(false', '(false', 'JJ', 'I-NP', 'O')
('negative)', 'negative)', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('incorrectly', 'incorrectly', 'RB', 'B-NP', 'O')
('classified', 'classify', 'VBN', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('strong', 'strong', 'JJ', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('activity.', 'activity.', 'NN', 'I-NP', 'O')
Several other statistics are useful for more detailedevaluation of the performance of the algorithms.
('Several', 'Several', 'JJ', 'B-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('statistics', 'statistic', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('useful', 'useful', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('more', 'more', 'RBR', 'B-NP', 'O')
('detailed', 'detailed', 'JJ', 'I-NP', 'O')
('evaluation', 'evaluation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('performance', 'performance', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('algorithms.', 'algorithms.', 'NN', 'I-NP', 'O')
Sensitivity and selectivity are often used for betterevaluation of the precision of algorithms.
('Sensitivity', 'Sensitivity', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('selectivity', 'selectivity', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('often', 'often', 'RB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('better', 'good', 'JJR', 'B-NP', 'O')
('evaluation', 'evaluation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('precision', 'precision', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('algorithms.', 'algorithms.', 'NN', 'B-NP', 'O')
Sensitivity (S n ,true positive rate) represents the ability to detect positive instances, i.e.
('Sensitivity', 'Sensitivity', 'NN', 'B-NP', 'O')
('(S', '(S', 'NN', 'I-NP', 'O')
('n', 'n', 'NN', 'I-NP', 'O')
(',', ',', ',', 'O', 'O')
('true', 'true', 'JJ', 'B-NP', 'O')
('positive', 'positive', 'JJ', 'I-NP', 'O')
('rate)', 'rate)', 'NN', 'I-NP', 'O')
('represents', 'represent', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ability', 'ability', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('detect', 'detect', 'VB', 'I-VP', 'O')
('positive', 'positive', 'JJ', 'B-NP', 'O')
('instances,', 'instances,', 'FW', 'I-NP', 'O')
('i.e.', 'i.e.', 'FW', 'I-NP', 'O')
the proportion of correctly classified peptides with strong antimicrobial activity among all antimicrobial peptides with strong antimicrobial activity.
('the', 'the', 'DT', 'B-NP', 'O')
('proportion', 'proportion', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('correctly', 'correctly', 'RB', 'B-NP', 'O')
('classified', 'classify', 'VBN', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('strong', 'strong', 'JJ', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('activity', 'activity', 'NN', 'I-NP', 'O')
('among', 'among', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('strong', 'strong', 'JJ', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('activity.', 'activity.', 'NN', 'I-NP', 'O')
It is a significant factor for determining the classification efficiency, and it is defined asSelectivity (s e , true negative rate) describes the proportionof correctly classified peptides with low potency amongst all antimicrobial peptides with low potency.
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('significant', 'significant', 'JJ', 'I-NP', 'O')
('factor', 'factor', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('determining', 'determine', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('efficiency,', 'efficiency,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('Selectivity', 'Selectivity', 'NN', 'B-NP', 'O')
('(s', '(', 'NNS', 'I-NP', 'O')
('e', 'e', 'VBP', 'B-VP', 'O')
(',', ',', ',', 'O', 'O')
('true', 'true', 'JJ', 'B-NP', 'O')
('negative', 'negative', 'JJ', 'I-NP', 'O')
('rate)', 'rate)', 'NN', 'I-NP', 'O')
('describes', 'describe', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('proportion', 'proportion', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('correctly', 'correctly', 'RB', 'B-NP', 'O')
('classified', 'classify', 'VBN', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('low', 'low', 'JJ', 'B-NP', 'O')
('potency', 'potency', 'NN', 'I-NP', 'O')
('amongst', 'amongst', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('low', 'low', 'JJ', 'B-NP', 'O')
('potency.', 'potency.', 'NN', 'I-NP', 'O')
This is defined as:Furthermore, in order to evaluate the validity of the rate of classification, an F-measure is obtained.
('This', 'This', 'DT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('as:', 'as:', ':', 'O', 'O')
('Furthermore,', 'Furthermore,', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-SBAR', 'O')
('order', 'order', 'NN', 'O', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('evaluate', 'evaluate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('validity', 'validity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('classification,', 'classification,', 'NN', 'B-NP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('F-measure', 'F-measure', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('obtained.', 'obtained.', 'VBN', 'I-VP', 'O')
F- measure is the sum of average of the measures of precision and recall.
('F-', 'F-', 'NN', 'B-NP', 'O')
('measure', 'measure', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sum', 'sum', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('average', 'average', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('measures', 'measure', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('precision', 'precision', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('recall.', 'recall.', 'NN', 'I-NP', 'O')
Precision value is a mathematical presentation of false-positives present in the final classification while the value for recall contains similar information as in A.
('Precision', 'Precision', 'NN', 'B-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('mathematical', 'mathematical', 'JJ', 'I-NP', 'O')
('presentation', 'presentation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('false-positives', 'false-positive', 'NNS', 'B-NP', 'O')
('present', 'present', 'JJ', 'B-ADJP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('final', 'final', 'JJ', 'I-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('while', 'while', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('recall', 'recall', 'NN', 'B-NP', 'O')
('contains', 'contain', 'VBZ', 'B-VP', 'O')
('similar', 'similar', 'JJ', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('A.', 'A.', 'NN', 'B-NP', 'O')
Therefore, the F-measure can be formulated as belowThe decision tree for the classification of the peptide data set against E. coli was constructed by using subset of selected features.
('Therefore,', 'Therefore,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('F-measure', 'F-measure', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('formulated', 'formulate', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-SBAR', 'O')
('below', 'below', 'IN', 'B-PP', 'O')
('The', 'The', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('peptide', 'peptide', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'VBN', 'B-VP', 'O')
('against', 'against', 'IN', 'B-PP', 'O')
('E.', 'E.', 'FW', 'B-NP', 'O')
('coli', 'coli', 'FW', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('constructed', 'construct', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('subset', 'subset', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('selected', 'select', 'VBN', 'B-NP', 'O')
('features.', 'features.', 'NNS', 'I-NP', 'O')
It composed of 17 nodes with 9 leaves.
('It', 'It', 'PRP', 'B-NP', 'O')
('composed', 'compose', 'VBD', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('17', '17', 'CD', 'B-NP', 'O')
('nodes', 'node', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('9', '9', 'CD', 'B-NP', 'O')
('leaves.', 'leaves.', 'NN', 'I-NP', 'O')
The rate of correct prediction for E. coll was approximately 76.64%.
('The', 'The', 'DT', 'B-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('correct', 'correct', 'JJ', 'B-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('E.', 'E.', 'NNP', 'B-NP', 'O')
('coll', 'coll', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('approximately', 'approximately', 'RB', 'B-ADVP', 'O')
('76.64%.', '76.64%.', 'CD', 'B-NP', 'O')
The sensitivity was 86.19% while the selectivity was 62.73%.
('The', 'The', 'DT', 'B-NP', 'O')
('sensitivity', 'sensitivity', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('86.19%', '86.19%', 'CD', 'B-NP', 'O')
('while', 'while', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('selectivity', 'selectivity', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('62.73%.', '62.73%.', 'CD', 'B-NP', 'O')
Furthermore, 72.61% was achieved for the F-measure suggesting significant accuracy in the classification.
('Furthermore,', 'Furthermore,', 'NN', 'B-NP', 'B-protein')
('72.61%', '72.61%', 'NN', 'I-NP', 'I-protein')
('was', 'be', 'VBD', 'B-VP', 'O')
('achieved', 'achieve', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('F-measure', 'F-measure', 'NN', 'I-NP', 'O')
('suggesting', 'suggest', 'VBG', 'B-VP', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('accuracy', 'accuracy', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('classification.', 'classification.', 'NN', 'I-NP', 'O')
The accuracy and a graphical illustration of the classification of the data set is shown in Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('accuracy', 'accuracy', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('graphical', 'graphical', 'JJ', 'I-NP', 'O')
('illustration', 'illustration', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('shown', 'show', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
1.
('1.', '1.', 'LS', 'B-LST', 'O')
The overall classification accuracy was 74.66% for the data set classified with S. aureus.
('The', 'The', 'DT', 'B-NP', 'O')
('overall', 'overall', 'JJ', 'I-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('accuracy', 'accuracy', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('74.66%', '74.66%', 'CD', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('classified', 'classify', 'VBN', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('S.', 'S.', 'NNP', 'B-NP', 'O')
('aureus.', 'aureus.', '.', 'O', 'O')
The tree (13 nodes with 7 leaves) was simpler than that obtained from the data set of E. coli.
('The', 'The', 'DT', 'B-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('(13', '(13', 'NN', 'I-NP', 'O')
('nodes', 'node', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('7', '7', 'CD', 'B-NP', 'O')
('leaves)', 'leaves)', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('simpler', 'simple', 'JJR', 'B-ADJP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('that', 'that', 'DT', 'B-NP', 'O')
('obtained', 'obtain', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('E.', 'E.', 'NNP', 'B-NP', 'O')
('coli.', 'coli.', 'NN', 'I-NP', 'O')
The sensitivity, selectivity and F- measure were 66.67%, 80.51 % and 72.94%, respectively.
('The', 'The', 'DT', 'B-NP', 'O')
('sensitivity,', 'sensitivity,', 'NN', 'I-NP', 'O')
('selectivity', 'selectivity', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('F-', 'F-', 'NN', 'B-NP', 'O')
('measure', 'measure', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('66.67%,', '66.67%,', 'CD', 'B-NP', 'O')
('80.51', '80.51', 'CD', 'I-NP', 'O')
('%', '%', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('72.94%,', '72.94%,', 'CD', 'B-NP', 'O')
('respectively.', 'respectively.', 'NN', 'I-NP', 'O')
The accuracy and F-measure were about the same in both microbes.
('The', 'The', 'DT', 'B-NP', 'O')
('accuracy', 'accuracy', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('F-measure', 'F-measure', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('about', 'about', 'IN', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('both', 'both', 'DT', 'B-NP', 'O')
('microbes.', 'microbes.', 'NNS', 'I-NP', 'O')
The selectivity obtained from the data set of S. aureus (80.51%) was relatively higher than that from the data set of E. coli (62.73%).
('The', 'The', 'DT', 'B-NP', 'O')
('selectivity', 'selectivity', 'NN', 'I-NP', 'O')
('obtained', 'obtain', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('S.', 'S.', 'FW', 'B-NP', 'B-protein')
('aureus', 'aureus', 'FW', 'I-NP', 'I-protein')
('(80.51%)', '(80.51%)', 'NN', 'I-NP', 'I-protein')
('was', 'be', 'VBD', 'B-VP', 'O')
('relatively', 'relatively', 'RB', 'B-ADJP', 'O')
('higher', 'high', 'JJR', 'I-ADJP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('that', 'that', 'DT', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('E.', 'E.', 'FW', 'B-NP', 'O')
('coli', 'coli', 'FW', 'I-NP', 'O')
('(62.73%).', '(62.73%).', 'LS', 'B-LST', 'O')
By contrast, the sensitivity of E. coli (86.19%) is higher than S. aureus (62.73%).
('By', 'By', 'IN', 'B-PP', 'O')
('contrast,', 'contrast,', 'NN', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sensitivity', 'sensitivity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('E.', 'E.', 'FW', 'B-NP', 'O')
('coli', 'coli', 'FW', 'I-NP', 'O')
('(86.19%)', '(86.19%)', 'LS', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('higher', 'high', 'JJR', 'B-ADJP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('S.', 'S.', 'FW', 'B-NP', 'O')
('aureus', 'aureus', 'FW', 'I-NP', 'O')
('(62.73%).', '(62.73%).', 'LS', 'B-LST', 'O')
To compare with the effect of validation set, we constructed decision tree with and without validation set.
('To', 'To', 'TO', 'B-VP', 'O')
('compare', 'compare', 'VB', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
